zip,SAMPLE_ID,SAMPLE_ENERGY,green,mycellphone,payattn,considerproduct,veryhotdays,firstone,conscientiousrecycle,reduceenergy,realeffort,willingchanges,highenergyproblem,ccreal,scarce,solar,wind,muchasican,futurepower,phev
28428,10116481,6884,0,4.0,10.0,10.0,10.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0,10.0
28580,20218086,20958,0,1.0,10.0,6.0,6.0,6.0,10.0,10.0,10.0,10.0,10.0,5.0,1.0,10.0,10.0,10.0,10.0,5.0
28580,20213351,18247,0,1.0,5.0,3.0,5.0,5.0,10.0,8.0,10.0,7.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0,5.0
27597,20205891,9842,0,6.0,10.0,1.0,1.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0
34683,40416676,7790,0,1.0,2.0,1.0,1.0,7.0,1.0,5.0,5.0,4.0,8.0,7.0,10.0,10.0,10.0,10.0,9.0,5.0
34698,30317351,7017,0,5.0,10.0,5.0,10.0,3.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0
33772,40404136,8845,1,6.0,10.0,10.0,10.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,6.0,6.0,10.0,10.0,1.0
28557,20217636,2782,0,8.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0
33540,40406091,1196,0,8.0,9.0,8.0,4.0,9.0,10.0,9.0,9.0,7.0,3.0,2.0,7.0,9.0,9.0,7.0,8.0,4.0
33870,30310656,12311,0,9.0,8.0,9.0,9.0,6.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,8.0,9.0,9.0
29506,10109256,18712,1,1.0,10.0,6.0,9.0,6.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,6.0
34787,30324251,5856,0,8.0,10.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0,5.0,5.0,10.0,8.0,1.0
33706,30317881,5059,0,5.0,3.0,5.0,10.0,6.0,10.0,8.0,9.0,8.0,9.0,4.0,5.0,10.0,10.0,7.0,6.0,9.0
27511,10101306,20055,0,1.0,5.0,2.0,2.0,5.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,5.0,10.0,1.0
27605,10103231,12782,0,5.0,8.0,6.0,8.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,8.0,3.0
34787,30321631,20138,0,10.0,7.0,1.0,10.0,7.0,10.0,7.0,7.0,3.0,10.0,4.0,4.0,6.0,6.0,9.0,1.0,1.0
32825,30311986,8853,0,3.0,5.0,5.0,1.0,2.0,10.0,10.0,10.0,8.0,10.0,10.0,5.0,10.0,10.0,5.0,5.0,6.0
33708,30318706,9351,0,2.0,2.0,5.0,2.0,3.0,3.0,4.0,8.0,2.0,8.0,8.0,3.0,10.0,10.0,7.0,5.0,3.0
34758,30322106,20824,1,5.0,9.0,8.0,1.0,5.0,1.0,10.0,9.0,10.0,10.0,10.0,10.0,5.0,8.0,6.0,9.0,7.0
27612,20207711,7279,1,4.0,8.0,5.0,9.0,8.0,9.0,8.0,8.0,7.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,7.0
28443,20214156,28604,0,7.0,3.0,7.0,3.0,3.0,3.0,4.0,5.0,7.0,10.0,1.0,10.0,10.0,10.0,5.0,7.0,10.0
27330,20210526,14569,0,8.0,5.0,5.0,4.0,5.0,5.0,5.0,6.0,6.0,7.0,5.0,5.0,6.0,6.0,5.0,4.0,3.0
28409,20216836,8491,1,8.0,10.0,8.0,5.0,7.0,10.0,10.0,10.0,8.0,6.0,10.0,9.0,8.0,8.0,10.0,8.0,3.0
33540,40406191,2424,0,4.0,8.0,1.0,1.0,6.0,8.0,8.0,8.0,7.0,10.0,5.0,10.0,5.0,5.0,9.0,9.0,5.0
27563,20205171,4514,0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,10.0,10.0,1.0
27856,20208336,20962,0,10.0,6.0,8.0,5.0,6.0,6.0,8.0,8.0,6.0,7.0,9.0,5.0,5.0,5.0,5.0,7.0,4.0
34714,40412516,11083,0,8.0,5.0,4.0,3.0,3.0,8.0,3.0,5.0,6.0,7.0,5.0,3.0,5.0,6.0,3.0,6.0,2.0
32726,40419596,17322,0,10.0,5.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0,10.0
32707,40408976,6777,0,10.0,6.0,10.0,10.0,10.0,5.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0,10.0,6.0,10.0,10.0
34652,40401596,67311,0,8.0,9.0,9.0,8.0,6.0,7.0,9.0,9.0,7.0,8.0,8.0,8.0,8.0,7.0,7.0,9.0,8.0
34690,30315141,17575,0,6.0,5.0,6.0,2.0,1.0,4.0,7.0,7.0,2.0,3.0,1.0,2.0,10.0,10.0,6.0,3.0,5.0
33542,30305806,16560,0,1.0,9.0,10.0,10.0,6.0,10.0,10.0,10.0,5.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,5.0
34786,30310866,12233,0,9.0,8.0,10.0,10.0,7.0,10.0,10.0,10.0,10.0,8.0,9.0,8.0,7.0,8.0,9.0,10.0,9.0
28504,10118081,11232,0,5.0,10.0,10.0,10.0,1.0,10.0,5.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,10.0,5.0,5.0
34491,30313236,12959,0,1.0,4.0,2.0,9.0,2.0,8.0,8.0,9.0,5.0,5.0,9.0,6.0,4.0,4.0,4.0,4.0,3.0
33704,30302756,14413,0,4.0,9.0,8.0,2.0,4.0,8.0,9.0,9.0,5.0,9.0,9.0,8.0,9.0,9.0,10.0,5.0,2.0
32344,30301281,2672,0,2.0,9.0,8.0,8.0,3.0,9.0,8.0,9.0,8.0,10.0,6.0,9.0,9.0,9.0,6.0,7.0,7.0
32835,30322436,18020,0,5.0,5.0,8.0,1.0,3.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,5.0,9.0
32778,40409196,6165,0,4.0,10.0,8.0,8.0,4.0,9.0,6.0,6.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0
28785,20219231,19141,1,10.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0
34689,40417296,10559,0,10.0,10.0,10.0,1.0,5.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0
33705,40405401,1832,0,7.0,10.0,9.0,7.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,7.0,9.0,9.0,10.0,10.0,2.0
32735,40409361,12055,0,5.0,10.0,10.0,4.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0
27529,20202431,12923,0,8.0,9.0,6.0,6.0,5.0,10.0,10.0,10.0,5.0,9.0,5.0,8.0,7.0,5.0,7.0,9.0,7.0
27534,10118166,14816,0,2.0,10.0,7.0,4.0,1.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0
34472,40413146,17495,0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
34762,30323691,8312,0,4.0,10.0,1.0,10.0,2.0,3.0,2.0,10.0,2.0,7.0,1.0,10.0,4.0,4.0,10.0,2.0,1.0
32824,30310061,16808,0,8.0,9.0,9.0,9.0,5.0,9.0,10.0,10.0,8.0,6.0,6.0,8.0,9.0,9.0,9.0,9.0,9.0
33541,30318471,10447,1,1.0,5.0,10.0,10.0,4.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,1.0
33759,40401456,25965,0,5.0,6.0,7.0,7.0,4.0,8.0,8.0,8.0,5.0,5.0,3.0,5.0,7.0,7.0,6.0,6.0,6.0
33834,40409801,21031,0,7.0,9.0,8.0,9.0,2.0,9.0,3.0,3.0,8.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,2.0
32725,40408141,12857,0,9.0,7.0,6.0,4.0,5.0,10.0,7.0,5.0,5.0,10.0,5.0,3.0,7.0,7.0,8.0,7.0,1.0
32822,40424621,13134,0,3.0,1.0,4.0,1.0,3.0,10.0,9.0,9.0,2.0,10.0,1.0,10.0,3.0,3.0,10.0,2.0,1.0
33702,30314041,17121,0,6.0,6.0,10.0,1.0,6.0,6.0,8.0,10.0,6.0,10.0,10.0,10.0,10.0,10.0,7.0,7.0,10.0
32348,40413311,10292,0,1.0,10.0,5.0,1.0,5.0,1.0,10.0,10.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0
33708,30316796,14870,0,1.0,10.0,10.0,10.0,2.0,4.0,9.0,10.0,7.0,8.0,1.0,7.0,9.0,9.0,8.0,9.0,9.0
28403,10114871,13672,0,4.0,8.0,5.0,1.0,1.0,7.0,9.0,7.0,1.0,5.0,7.0,6.0,6.0,5.0,5.0,5.0,2.0
27511,10102751,15439,0,8.0,6.0,5.0,3.0,7.0,7.0,7.0,7.0,5.0,7.0,6.0,6.0,5.0,6.0,4.0,6.0,3.0
28409,10115591,14292,0,8.0,10.0,8.0,10.0,8.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,4.0
27612,10105951,15062,0,9.0,7.0,9.0,2.0,9.0,8.0,9.0,9.0,5.0,8.0,9.0,3.0,9.0,9.0,3.0,8.0,5.0
27529,10108431,9559,0,1.0,3.0,3.0,4.0,4.0,6.0,2.0,7.0,7.0,8.0,6.0,4.0,5.0,5.0,9.0,4.0,1.0
33708,40405826,4350,0,1.0,10.0,5.0,8.0,1.0,1.0,10.0,10.0,7.0,5.0,1.0,5.0,5.0,9.0,10.0,5.0,1.0
29554,20210986,14333,0,10.0,10.0,10.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,10.0,10.0,1.0
32818,30322256,23740,1,10.0,9.0,7.0,9.0,1.0,3.0,8.0,8.0,9.0,10.0,10.0,10.0,8.0,8.0,6.0,8.0,8.0
33710,40404456,9405,0,4.0,10.0,10.0,10.0,1.0,7.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,7.0,8.0,10.0
28705,20219901,5251,0,1.0,10.0,10.0,8.0,5.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,10.0,10.0,10.0,10.0,5.0
32810,30320241,14402,0,1.0,9.0,9.0,1.0,2.0,10.0,9.0,9.0,5.0,9.0,10.0,10.0,10.0,10.0,10.0,5.0,2.0
28778,10118646,19746,0,8.0,8.0,10.0,10.0,3.0,9.0,10.0,10.0,10.0,8.0,10.0,9.0,10.0,10.0,9.0,10.0,8.0
32819,40422441,16836,1,7.0,5.0,7.0,8.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,5.0,7.0,4.0
28409,20215766,13122,1,1.0,10.0,1.0,1.0,5.0,10.0,5.0,10.0,5.0,10.0,10.0,1.0,10.0,10.0,10.0,5.0,5.0
27546,20217436,5495,0,3.0,8.0,8.0,9.0,2.0,7.0,9.0,9.0,9.0,9.0,8.0,7.0,9.0,9.0,6.0,7.0,4.0
28451,10114541,22765,0,4.0,6.0,6.0,1.0,1.0,2.0,2.0,3.0,1.0,10.0,3.0,7.0,10.0,10.0,10.0,1.0,5.0
29536,10110946,4361,0,1.0,9.0,9.0,1.0,1.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,10.0,10.0,6.0,6.0,3.0
28586,10115371,12450,0,1.0,10.0,10.0,5.0,1.0,10.0,10.0,10.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0
28394,10110146,15445,1,4.0,10.0,10.0,1.0,1.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0
27312,10102526,14133,0,9.0,5.0,5.0,10.0,9.0,6.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,8.0
28409,10113261,19799,0,1.0,10.0,10.0,7.0,1.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,10.0,10.0,10.0,10.0,1.0
28787,20219676,13157,0,8.0,8.0,1.0,1.0,8.0,10.0,6.0,6.0,7.0,6.0,8.0,8.0,7.0,7.0,6.0,8.0,1.0
28405,20215721,12779,0,10.0,5.0,4.0,4.0,6.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,8.0,8.0,8.0,8.0,4.0
32707,30308986,13825,0,1.0,10.0,10.0,10.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,10.0,10.0,10.0,1.0
29150,20210996,14590,0,1.0,9.0,8.0,10.0,2.0,10.0,10.0,10.0,5.0,8.0,6.0,9.0,8.0,8.0,9.0,5.0,3.0
29505,20212336,8226,0,9.0,8.0,2.0,5.0,4.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,10.0,10.0,8.0,8.0,8.0
27545,20207666,6803,0,4.0,9.0,9.0,9.0,5.0,10.0,10.0,10.0,10.0,9.0,10.0,8.0,8.0,8.0,9.0,7.0,6.0
32701,30308456,10859,1,7.0,10.0,8.0,5.0,4.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,8.0,5.0
28412,20217156,13199,0,2.0,5.0,2.0,2.0,5.0,10.0,10.0,10.0,10.0,9.0,10.0,5.0,10.0,10.0,3.0,10.0,10.0
29550,20209476,26163,0,7.0,9.0,7.0,3.0,2.0,2.0,9.0,10.0,9.0,9.0,8.0,9.0,10.0,10.0,8.0,8.0,8.0
27604,10104046,1246,0,1.0,6.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0,10.0,10.0
27573,10108446,821,0,1.0,10.0,10.0,10.0,4.0,10.0,10.0,10.0,5.0,8.0,5.0,10.0,10.0,10.0,10.0,10.0,5.0
27312,20202961,15804,1,3.0,8.0,8.0,8.0,3.0,10.0,10.0,10.0,8.0,8.0,10.0,7.0,8.0,8.0,2.0,9.0,9.0
27501,10117656,18818,0,6.0,6.0,9.0,8.0,2.0,7.0,5.0,5.0,5.0,7.0,5.0,5.0,4.0,7.0,6.0,5.0,5.0
28327,10109636,25056,0,10.0,10.0,10.0,1.0,7.0,10.0,10.0,10.0,10.0,6.0,2.0,10.0,10.0,10.0,9.0,9.0,5.0
27609,10106926,8135,0,1.0,10.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,1.0,7.0,5.0,10.0,10.0,10.0,10.0,10.0
28411,20215521,16243,0,2.0,5.0,5.0,5.0,5.0,5.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,5.0,2.0
32819,40410601,14081,0,7.0,9.0,9.0,9.0,7.0,7.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,1.0
34465,40412831,43724,0,1.0,10.0,5.0,1.0,8.0,10.0,10.0,10.0,10.0,10.0,1.0,10.0,8.0,8.0,8.0,10.0,10.0
33781,30317006,11303,0,5.0,8.0,8.0,9.0,5.0,5.0,7.0,8.0,4.0,9.0,8.0,8.0,6.0,7.0,8.0,9.0,6.0
33715,40417976,4984,0,10.0,10.0,6.0,6.0,4.0,10.0,10.0,10.0,10.0,10.0,1.0,10.0,10.0,10.0,7.0,10.0,8.0
32744,30307326,15999,0,7.0,8.0,8.0,8.0,6.0,8.0,6.0,7.0,7.0,10.0,8.0,10.0,10.0,10.0,7.0,6.0,9.0
27514,20203871,14900,0,1.0,8.0,8.0,8.0,4.0,8.0,10.0,9.0,9.0,10.0,9.0,10.0,5.0,8.0,8.0,10.0,8.0
27559,20212931,14795,0,1.0,10.0,6.0,1.0,2.0,9.0,6.0,10.0,7.0,10.0,5.0,9.0,10.0,10.0,8.0,6.0,10.0
27863,20214061,26790,0,1.0,5.0,4.0,8.0,7.0,10.0,8.0,8.0,8.0,8.0,8.0,7.0,9.0,9.0,8.0,8.0,8.0
27608,20205401,6705,0,4.0,9.0,6.0,3.0,10.0,10.0,10.0,10.0,8.0,10.0,7.0,10.0,8.0,7.0,9.0,10.0,5.0
27573,10100261,19334,0,6.0,6.0,6.0,6.0,2.0,9.0,8.0,8.0,5.0,6.0,9.0,8.0,10.0,10.0,8.0,8.0,8.0
27609,10100211,18734,0,7.0,9.0,10.0,1.0,7.0,10.0,10.0,10.0,7.0,10.0,8.0,7.0,5.0,3.0,10.0,9.0,5.0
33898,30324486,10771,0,1.0,2.0,5.0,1.0,1.0,10.0,6.0,6.0,3.0,10.0,1.0,9.0,7.0,7.0,9.0,5.0,1.0
32822,30322901,14305,0,10.0,10.0,10.0,10.0,1.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
28572,10113946,18851,0,10.0,10.0,5.0,1.0,2.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,1.0
33875,30311471,7098,0,2.0,9.0,5.0,8.0,2.0,5.0,10.0,10.0,7.0,10.0,10.0,7.0,10.0,10.0,10.0,7.0,10.0
32347,40413691,9753,1,10.0,10.0,10.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0
32159,40400876,8369,0,9.0,7.0,10.0,1.0,1.0,10.0,3.0,10.0,2.0,10.0,3.0,10.0,10.0,10.0,10.0,5.0,1.0
32720,40408426,6593,0,3.0,9.0,2.0,2.0,3.0,8.0,7.0,8.0,7.0,7.0,2.0,9.0,9.0,9.0,8.0,8.0,3.0
29571,20211491,1813,0,1.0,10.0,10.0,10.0,1.0,10.0,10.0,5.0,2.0,5.0,1.0,10.0,1.0,1.0,10.0,10.0,1.0
28348,20215311,14466,0,5.0,3.0,5.0,5.0,7.0,9.0,6.0,6.0,6.0,7.0,3.0,6.0,6.0,5.0,4.0,5.0,5.0
27607,20202266,12224,0,5.0,9.0,5.0,5.0,6.0,10.0,10.0,10.0,10.0,8.0,10.0,8.0,10.0,10.0,9.0,10.0,5.0
28303,20217706,4745,1,1.0,10.0,8.0,9.0,2.0,10.0,10.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0
33774,40414296,28501,0,3.0,8.0,10.0,10.0,3.0,1.0,10.0,10.0,9.0,7.0,10.0,3.0,8.0,8.0,7.0,10.0,8.0
27603,20208406,24029,0,1.0,10.0,1.0,1.0,1.0,7.0,10.0,10.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
27614,20201936,25996,0,5.0,5.0,5.0,4.0,6.0,7.0,6.0,5.0,6.0,5.0,5.0,4.0,6.0,6.0,7.0,7.0,5.0
27344,10104781,890,0,3.0,8.0,8.0,8.0,6.0,6.0,9.0,9.0,7.0,9.0,3.0,7.0,8.0,8.0,5.0,8.0,1.0
32779,30320061,13073,0,3.0,10.0,10.0,1.0,7.0,10.0,10.0,10.0,10.0,5.0,10.0,6.0,10.0,10.0,10.0,10.0,10.0
32724,30306376,16759,0,9.0,9.0,7.0,6.0,5.0,10.0,9.0,9.0,8.0,9.0,7.0,8.0,5.0,5.0,8.0,8.0,4.0
27614,10102486,13904,0,9.0,8.0,7.0,6.0,5.0,9.0,9.0,8.0,8.0,7.0,8.0,9.0,9.0,7.0,6.0,8.0,2.0
33834,30312496,4491,1,1.0,10.0,9.0,1.0,1.0,10.0,10.0,10.0,8.0,10.0,10.0,1.0,8.0,10.0,8.0,10.0,1.0
32703,40407001,22932,0,2.0,10.0,8.0,8.0,7.0,2.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,7.0,6.0,10.0,3.0
34668,40414561,20118,0,8.0,4.0,7.0,7.0,3.0,5.0,8.0,8.0,7.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
27612,10106901,9450,1,7.0,10.0,5.0,1.0,2.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,8.0,8.0,8.0,8.0,9.0
32792,30306536,42604,0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0
34698,30305446,8572,0,1.0,5.0,1.0,1.0,1.0,10.0,10.0,8.0,7.0,10.0,1.0,10.0,10.0,6.0,8.0,8.0,1.0
32159,30300811,7111,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
33704,40403341,10127,0,3.0,2.0,8.0,8.0,1.0,1.0,6.0,10.0,2.0,8.0,8.0,8.0,5.0,5.0,2.0,2.0,2.0
